,Week,Rank,Fantasy
325,5,18,11
326,6,6,24
327,7,23,47.5
328,8,29,29.6
329,9,22,5.2
330,12,2,5.1
331,13,28,4.8
332,14,29,4.6
333,15,23,3
334,16,18,7.3
335,1,19,8.4
336,2,31,25.7
337,3,30,28.6
338,4,12,19.3
339,5,29,2.6
340,6,13,8.8
341,7,8,2.9
342,8,1,8.2
343,10,1,5
344,11,8,3.2
345,1,29,21
346,2,2,7.6
347,3,18,6.5
348,4,11,22.4
349,6,12,9.1
350,7,7,7.2
351,10,3,5.9
352,11,24,26.8
353,12,13,6.2
354,13,3,13.1
355,14,2,0.4
356,2,19,9.5
357,3,24,8.1
358,4,32,6.1
359,5,8,7.1
360,6,10,14.8
361,7,2,6.4
362,8,5,3.2
363,9,30,3.7
364,10,5,5.8
365,11,12,7.3
366,13,8,7.5
367,14,31,15.3
368,15,16,2.4
369,16,25,11.8
370,1,13,2.4
371,2,22,0.3
372,3,7,10.7
373,4,2,3.3
374,5,27,7
375,6,10,3.4
376,7,9,8.7
377,8,32,4.4
378,9,11,4.6
379,10,9,1.5
380,11,3,12.5
381,12,7,-2
382,13,16,1.2
383,14,19,11.7
384,16,11,0.1
385,1,17,2.9
386,2,6,1.5
387,3,10,1.3
388,5,32,6.5
389,6,7,8.7
390,7,19,17.3
391,8,10,17.3
392,9,8,12
393,10,11,5.3
394,11,32,1.7
395,12,9,1.4
396,13,20,9.6
397,14,5,7.1
398,15,1,2.1
399,16,19,23.7
400,2,23,9.1
401,3,22,25.1
402,4,3,4.7
403,6,13,16.2
404,7,18,2.1
405,8,24,6.5
406,9,23,12.6
407,10,2,21.5
408,11,6,6.3
409,12,28,13
410,13,31,33.8
411,14,24,9.5
412,15,18,6.4
413,1,17,1.5
414,2,6,4.6
415,3,10,2.4
416,5,32,22.9
417,6,7,16
418,9,8,0.6
419,10,11,22.6
420,11,32,9.7
421,12,9,3
422,13,20,20.2
423,14,5,6.4
424,1,27,16.9
425,2,8,22.2
426,3,5,18.9
427,4,29,11.9
428,5,18,11.5
429,6,1,10.3
430,7,31,7.5
431,8,20,11.9
432,9,13,5.9
433,10,6,12.9
434,12,2,12.5
435,13,1,7.3
436,14,7,16.8
437,15,5,11.6
438,16,8,20.5
439,1,16,11.3
440,2,12,41.5
441,3,31,19.9
442,4,19,21.9
443,5,32,13.1
444,6,28,10.9
445,7,9,22.2
446,8,18,8.3
447,9,17,15.3
448,10,3,9.1
449,11,15,14
450,12,21,13.8
451,13,28,34
452,14,25,12.5
453,15,12,34.6
454,16,16,16.7
455,1,23,21.5
456,2,26,22
457,3,32,7.6
458,4,22,30
459,5,15,24.5
460,6,19,29
461,7,17,13.7
462,8,23,24.9
463,9,7,32.4
464,10,4,18.4
465,11,21,15.4
466,12,26,6.7
467,13,22,15.7
468,14,31,19.6
469,15,25,18.9
470,16,9,34.7
471,1,15,13.4
472,2,27,17.2
473,3,13,3.1
474,4,20,18.6
475,5,10,18.3
476,6,22,13
477,7,30,23.6
478,8,10,13.3
479,9,4,12.6
480,10,30,35.7
481,11,7,35.2
482,13,4,8.8
483,14,29,14.5
484,15,18,11.3
485,16,2,5.5
486,1,10,12.2
487,2,5,8.1
488,3,20,11.7
489,4,27,13.4
490,5,31,28.4
491,6,3,7.9
492,7,13,6.9
493,8,6,10.8
494,9,20,27.2
495,10,13,6.5
496,11,8,9.9
497,12,4,13
498,13,27,22.3
499,14,1,8.9
500,16,30,12.5
501,1,1,24.6
502,2,18,20.8
503,3,3,-1.3
504,5,28,21.9
505,6,8,8.8
506,8,19,12.4
507,9,2,8
508,10,27,15.3
509,11,20,9.8
510,12,29,17.9
511,13,8,21.5
512,14,13,10.1
513,15,3,5.3
514,16,1,4.3
515,2,32,12.2
516,3,17,6.6
517,4,11,15.5
518,5,21,12.3
519,6,22,24.2
520,7,28,19.8
521,8,16,12.7
522,10,26,19.7
523,11,6,7.2
524,12,12,19.7
