,Week,Opponent,Rank,Fantasy
1009,1,SFO,32,18.3
1010,2,STL,25,16.4
1011,3,ARI,12,11.7
1012,4,CAR,15,13.6
1013,5,DET,18,13.5
1014,6,SDG,11,1.3
1015,7,KAN,29,12.1
1016,8,DEN,9,10
1017,9,TAM,10,8.1
1018,10,NYG,17,8
1019,12,TAM,10,5.2
1020,13,OAK,31,11.2
1021,14,CAR,15,19.4
1022,16,SEA,22,15.2
1023,1,BUF,8,6.1
1024,2,DEN,9,5.4
1025,3,TEN,30,15.2
1026,4,IND,19,7.9
1027,5,SDG,11,10.8
1028,6,KAN,29,19.7
1029,7,IND,19,17.4
1030,8,HOU,16,1.9
1031,9,DET,18,16.5
1032,10,TEN,30,10.3
1033,11,MIN,26,16
1034,12,PIT,1,11
1035,13,CHI,13,10.2
1036,14,GNB,23,22.5
1037,1,CAR,15,29.6
1038,2,CHI,13,11.5
1039,3,IND,19,10.1
1040,4,NYG,17,8.6
1041,5,TEN,30,1.8
1042,6,DET,18,13.2
1043,7,DAL,28,28.7
1044,9,MIN,26,15.2
1045,10,HOU,16,1.5
1046,12,PHI,2,5.4
1047,13,DET,18,9.6
1048,14,JAX,7,8.5
1049,15,MIN,26,15
1050,16,CHI,13,3.6
1051,1,OAK,31,18.1
1052,2,BAL,6,1.2
1053,3,MIA,20,12.9
1054,4,CIN,21,9.4
1055,5,CLE,24,6.8
1056,6,DAL,28,12.5
1057,7,NWE,3,14.9
1058,8,PHI,2,23
1059,9,CLE,24,13.2
1060,10,CIN,21,18
1061,12,JAX,7,16.1
1062,13,NYJ,4,20.3
1063,14,NYG,17,13
1064,1,ATL,14,7.1
1065,3,SEA,22,3.6
1066,4,STL,25,9
1067,5,ARI,12,5.7
1068,6,NYJ,4,14.8
1069,7,CHI,13,5.2
1070,8,SEA,22,13.9
1071,9,CAR,15,18.1
1072,10,TAM,10,4.4
1073,11,MIA,20,2
1074,12,STL,25,6.9
1075,15,BUF,8,13.2
1076,16,NWE,3,11.4
1077,1,DET,18,22.5
1078,2,GNB,23,21.9
1079,3,MIN,26,24.1
1080,4,PHI,2,7.2
1081,6,TAM,10,12.5
1082,7,SFO,32,0.1
1083,10,IND,19,8.2
1084,11,DAL,28,9.4
1085,12,MIN,26,7.1
1086,13,JAX,7,9.4
1087,14,HOU,16,7.7
1088,15,DET,18,12.3
1089,16,GNB,23,23.2
1090,1,CLE,24,5.7
1091,2,PIT,1,18.2
1092,3,CIN,21,29.2
1093,4,KAN,29,13.3
1094,8,CLE,24,15.5
1095,9,NYJ,4,9.1
1096,10,DAL,28,0.8
1097,13,NYG,17,3.2
1098,14,IND,19,14.7
1099,15,PIT,1,10.2
1100,16,MIA,20,22.7
1101,4,DEN,9,7.2
1102,6,STL,25,9.3
1103,7,CHI,13,20.4
1104,8,KAN,29,33.8
1105,9,ATL,14,7.8
1106,10,SFO,32,22.6
1107,11,CAR,15,24.3
1108,12,ATL,14,14
1109,13,SDG,11,8.8
1110,15,CAR,15,5.4
1111,16,ARI,12,6
1112,1,GNB,23,1.3
1113,2,KAN,29,2.5
1114,3,ATL,14,1.8
1115,4,DEN,9,6.7
1116,5,PHI,2,2.2
1117,6,SDG,11,2.5
1118,7,SEA,22,10.7
1119,8,OAK,31,9.2
1120,9,SFO,32,32.2
1121,10,ARI,12,12.3
1122,11,TAM,10,22.8
1123,13,STL,25,15
1124,14,ATL,14,16.6
1125,15,TAM,10,8.9
1126,5,PIT,1,5
1127,6,CIN,21,15.9
1128,7,PHI,2,14.3
1129,8,BAL,6,6.3
1130,9,PIT,1,1.8
1131,10,NYJ,4,7.7
1132,14,SDG,11,10.3
1133,15,MIA,20,12.7
1134,16,HOU,16,15.4
1135,1,DEN,9,32.9
1136,2,CAR,15,14.2
1137,3,HOU,16,13.4
1138,4,BAL,6,24.5
1139,5,JAX,7,18.2
1140,6,ATL,14,40
1141,7,IND,19,38.5
1142,8,TAM,10,12.2
1143,1,ARI,12,16.5
1144,2,ATL,14,10.1
1145,4,SFO,32,14.6
1146,5,SEA,22,5.5
1147,6,TAM,10,12.9
1148,7,MIA,20,13.5
1149,8,NWE,3,10.8
1150,9,SEA,22,14
1151,10,BUF,8,1.9
1152,11,GNB,23,8.1
1153,14,ARI,12,3.5
1154,15,PHI,2,5.4
1155,16,NYJ,4,2.6
1156,1,OAK,31,9.4
1157,2,BAL,6,6.6
1158,3,MIA,20,10.1
1159,4,CIN,21,8.3
1160,5,CLE,24,17.7
1161,6,DAL,28,10.6
1162,7,NWE,3,12.5
1163,12,JAX,7,5.1
1164,13,NYJ,4,8.1
1165,16,BUF,8,2.1
1166,1,NYG,17,16.1
1167,2,MIN,26,11.8
1168,3,DET,18,7.6
1169,4,CHI,13,18.2
1170,5,CAR,15,15
1171,6,CLE,24,6
1172,8,PIT,1,2.1
1173,9,DAL,28,17.8
1174,11,NYG,17,24.7
1175,12,GNB,23,37.3
1176,14,DAL,28,12.6
1177,1,JAX,6,7.3
1178,2,ATL,18,21.5
1179,3,ARI,26,38
1180,5,STL,31,25.5
1181,6,HOU,32,38.2
1182,7,DAL,12,6.1
1183,8,ARI,26,29.3
1184,9,STL,31,35.4
1185,10,SFO,30,24.2
1186,11,NYG,14,17.4
1187,12,PHI,27,16.9
1188,13,SFO,30,18.8
1189,14,TEN,29,23.2
1190,15,IND,2,32.5
1191,16,GNB,20,11.3
1192,1,BAL,10,11.4
1193,2,JAX,6,16.7
1194,3,CLE,11,19.7
1195,4,TEN,29,16.2
1196,5,SFO,30,18.7
1197,6,STL,31,33.9
1198,7,HOU,32,26.7
1199,8,NWE,17,17.3
1200,9,HOU,32,20.8
1201,10,CIN,22,22.7
1202,11,PIT,3,12.4
1203,12,TEN,29,18.4
1204,13,JAX,6,15.4
1205,14,SDG,13,10.5
1206,15,SEA,7,5.5
1207,1,ARI,26,18.2
1208,3,SDG,13,6.5
1209,4,STL,31,20.3
1210,5,DAL,12,6.9
1211,6,DEN,4,15
1212,8,SFO,30,10.3
1213,9,MIN,19,28.6
1214,10,PHI,27,13.4
1215,11,SEA,7,17.8
1216,12,DAL,12,12.4
1217,13,PHI,27,25.5
1218,14,KAN,16,36.9
1219,16,OAK,25,32.3
1220,1,CHI,1,12.1
1221,2,DAL,12,7.7
1222,3,SEA,7,10.8
1223,4,DEN,4,13
1224,5,KAN,16,12.8
1225,6,SFO,30,29.3
1226,7,NYG,14,2.2
1227,8,PHI,27,13.5
1228,9,TAM,8,23.3
1229,10,OAK,25,4.6
1230,11,SDG,13,11
1231,12,STL,31,25.7
1232,13,ARI,26,18.1
1233,14,DAL,12,11.6
1234,15,NYG,14,22.48
1235,16,PHI,27,23.7
1236,1,DAL,12,13.2
1237,2,DEN,4,17.2
1238,3,NYG,14,43.04
1239,4,NWE,17,28.8
1240,5,PIT,3,19
1241,6,OAK,25,34.06
1242,7,PHI,27,3.3
1243,8,KAN,16,13.88
1244,9,NYJ,23,39.3
1245,10,BUF,24,14.9
1246,12,OAK,25,11
1247,13,MIA,15,7.5
1248,14,IND,2,8.5
1249,15,KAN,16,6.5
1250,16,DEN,4,15.6
1251,1,CLE,11,19.8
1252,2,MIN,19,9.3
1253,3,CHI,1,8.2
1254,4,HOU,32,8.8
1255,5,JAX,6,8.3
1256,6,TEN,29,14.3
1257,7,PIT,3,6.6
1258,8,GNB,20,7.2
1259,9,BAL,10,17.2
1260,10,IND,2,20.5
1261,11,BAL,10,23.9
1262,12,PIT,3,22.3
1263,13,CLE,11,24
1264,14,DET,21,25.1
1265,15,BUF,24,9.6
1266,16,KAN,16,1.7
1267,1,NYJ,23,24.1
1268,2,OAK,25,10.1
1269,3,DEN,4,-0.7
1270,4,PHI,27,1.4
1271,6,MIA,15,17.9
1272,7,SDG,13,8.3
1273,8,OAK,25,27.5
1274,9,BUF,24,17.8
1275,10,HOU,32,33.7
1276,11,NWE,17,21.2
1277,12,DEN,4,26.9
1278,13,DAL,12,35.1
1279,14,NYG,14,30.4
1280,15,SDG,13,29.9
1281,16,CIN,22,38.2
1282,1,HOU,32,13.2
1283,2,TAM,8,3.3
1284,3,ATL,18,20
1285,5,MIA,15,15.1
1286,6,NYJ,23,22.7
1287,7,OAK,25,8.6
1288,8,NWE,17,15.7
1289,9,KAN,16,4.6
1290,10,SDG,13,4.1
1291,11,CAR,5,5.3
1292,12,MIA,15,9.9
1293,13,NWE,17,0.8
1294,14,DEN,4,11
1295,15,CIN,22,6.6
1296,16,NYJ,23,13.5
1297,2,DET,21,27.8
1298,3,CIN,22,17.4
1299,4,CLE,11,14.2
1300,5,MIN,19,19.5
1301,6,BAL,10,13.4
1302,7,DET,21,7.7
1303,10,CAR,5,8.7
1304,11,TAM,8,12.2
1305,12,GNB,20,9.3
1306,13,PIT,3,15.5
1307,14,ATL,18,15.4
1308,15,GNB,20,16.6
1309,16,MIN,19,6.2
1310,1,CIN,22,10
1311,2,GNB,20,7.9
1312,3,IND,2,10.8
1313,4,CHI,1,9.3
1314,5,BAL,10,5.3
1315,6,DET,21,10.9
1316,7,HOU,32,7.9
1317,8,TEN,29,18.9
1318,9,PIT,3,18.3
1319,10,MIA,15,22.9
1320,11,MIN,19,11.9
1321,12,JAX,6,8.8
1322,13,CIN,22,7.8
1323,14,OAK,25,8.4
1324,15,PIT,3,6.5
1325,16,BAL,10,4.5
1326,1,PHI,27,11.7
1327,2,SEA,7,5.4
1328,3,BUF,24,10.2
1329,4,MIN,19,19.3
1330,5,NWE,17,10.6
1331,7,NYJ,23,16.1
1332,8,MIA,15,17.1
1333,9,GNB,20,16.8
1334,10,TAM,8,10.2
1335,11,DET,21,11.6
1336,12,CAR,5,8.6
1337,14,CHI,1,9
1338,15,TAM,8,6.4
1339,16,CAR,5,3.9
1340,1,NWE,17,11
1341,2,KAN,16,15.1
1342,3,PHI,27,13.2
1343,4,DAL,12,20.8
1344,5,SDG,13,21.4
1345,6,BUF,24,34.2
1346,7,TEN,29,19.6
1347,8,KAN,16,13.8
1348,9,DEN,4,10.8
1349,11,MIA,15,26.4
1350,12,SDG,13,4.5
1351,13,NYJ,23,7.9
1352,14,CLE,11,17.2
1353,1,IND,2,5.2
1354,2,TEN,29,2.1
1355,3,NYJ,23,12.1
1356,4,DET,21,17.2
1357,5,CLE,11,7
1358,6,CHI,1,4
1359,7,PIT,3,4.1
1360,8,CIN,22,4.9
1361,9,JAX,6,5.7
1362,10,PIT,3,0.8
1363,11,CIN,22,20.9
1364,12,HOU,32,2
1365,14,GNB,20,17.4
1366,15,MIN,19,8.5
1367,16,CLE,11,11.8
1368,1,TEN,29,26.9
1369,2,HOU,32,17.1
1370,3,NWE,17,4.9
1371,4,SDG,13,4
1372,5,JAX,6,5.5
1373,6,CIN,22,19.1
1374,7,BAL,10,8.1
1375,8,GNB,20,2.3
1376,10,BAL,10,14.1
1377,11,IND,2,6.6
1378,12,CIN,22,8.2
1379,13,CHI,1,11.3
1380,14,MIN,19,9.7
1381,15,CLE,11,19
1382,16,DET,21,15.2
1383,1,SFO,30,7.3
1384,2,ARI,26,16.9
1385,3,TEN,29,5.4
1386,4,NYG,14,15.9
1387,5,SEA,7,19.9
1388,6,IND,2,16.7
1389,8,JAX,6,26
1390,9,SEA,7,11.5
1391,10,ARI,26,0.2
1392,11,HOU,32,17.2
1393,13,MIN,19,6.7
1394,14,PHI,27,8.2
1395,15,SFO,30,10.9
1396,1,MIA,15,0.5
1397,2,SDG,13,7
1398,3,KAN,16,15.8
1399,4,JAX,6,14.2
1400,6,NWE,17,11.7
1401,7,NYG,14,18
1402,8,PHI,27,20.2
1403,9,OAK,25,12.5
1404,10,NYJ,23,30.9
1405,11,DAL,12,1.7
1406,12,KAN,16,22.3
1407,13,BAL,10,2.1
1408,14,BUF,24,22.1
1409,15,OAK,25,12.6
1410,1,KAN,16,7.7
1411,2,MIA,15,7.8
1412,3,JAX,6,7.1
1413,4,BAL,10,4.5
1414,5,TAM,8,17.9
1415,6,BUF,24,21.1
1416,7,ATL,18,11.4
1417,8,SDG,13,13.2
1418,9,CAR,5,6.1
1419,10,DEN,4,1.1
1420,12,NWE,17,5.5
1421,1,OAK,25,21.3
1422,2,CAR,5,3.6
1423,3,PIT,3,20.4
1424,4,SDG,13,14.6
1425,5,ATL,18,11.9
1426,7,BUF,24,19.2
1427,8,IND,2,4.9
1428,9,MIA,15,14.4
1429,12,NYJ,23,19.1
1430,13,BUF,24,18.3
1431,14,TAM,8,19.7
1432,2,NWE,17,6
1433,3,MIA,15,7.5
1434,4,GNB,20,9.3
1435,5,ARI,26,6.9
1436,7,MIN,19,5.9
1437,8,TAM,8,3.9
1438,9,NYJ,23,6.3
1439,10,CHI,1,6.1
1440,11,BUF,24,9.8
1441,12,ATL,18,30
1442,13,TAM,8,4.8
1443,15,DAL,12,8.1
1444,16,ATL,18,22.5
1445,1,SEA,7,9
1446,2,IND,2,9.9
1447,3,NYJ,23,15.8
1448,4,DEN,4,2.7
1449,5,CIN,22,13.2
1450,7,STL,31,22.4
1451,8,HOU,32,6.3
1452,10,TEN,29,1.9
1453,13,IND,2,7.4
1454,14,SFO,30,17.2
1455,2,NWE,17,25.7
1456,3,MIA,15,5.2
1457,4,GNB,20,19.2
1458,5,ARI,26,10.6
1459,6,DET,21,2.7
1460,7,MIN,19,16.7
1461,8,TAM,8,16.9
1462,9,NYJ,23,14.1
1463,10,CHI,1,0.6
1464,11,BUF,24,2.5
1465,12,ATL,18,0.8
1466,13,TAM,8,2.3
1467,1,STL,31,7.9
1468,2,PHI,27,6.5
1469,3,DAL,12,9.3
1470,4,ARI,26,5.5
1471,5,IND,2,12.8
1472,7,TAM,8,12.2
1473,8,NYG,14,4.5
1474,9,CHI,1,6.3
1475,10,SEA,7,3.8
1476,11,TEN,29,11.7
1477,13,SEA,7,6.3
1478,1,MIA,15,6
1479,2,SDG,13,4.7
1480,3,KAN,16,6.6
1481,4,JAX,6,25.2
1482,6,NWE,17,6.1
1483,7,NYG,14,22.7
1484,8,PHI,27,3.9
1485,9,OAK,25,4
1486,10,NYJ,23,4.7
1487,11,DAL,12,7.9
1488,12,KAN,16,5.8
1489,13,BAL,10,8.3
1490,14,BUF,24,23.2
1491,5,TAM,8,3
1492,6,KAN,16,8.2
1493,8,ATL,18,3.2
1494,9,NWE,17,8.3
1495,10,CLE,11,15.5
1496,11,OAK,25,13.8
1497,12,BUF,24,0.8
1498,13,SDG,13,13.4
1499,14,NYJ,23,23.5
1500,15,TEN,29,16.8
1501,1,CAR,5,0.2
1502,2,NYG,14,1.5
1503,3,MIN,19,2.2
1504,4,BUF,24,0.1
1505,5,GNB,20,4
1506,6,ATL,18,18.8
1507,7,STL,31,7
1508,8,MIA,15,3.3
1509,9,CHI,1,9.7
1510,10,NWE,17,3.2
1511,11,NYJ,23,4.5
1512,12,TAM,8,5
1513,13,ATL,18,13.2
1514,14,CAR,5,2.5
1515,15,DET,21,3.8
1516,16,TAM,8,5.5
1517,1,NYG,14,1.5
1518,2,STL,31,9.3
1519,3,SEA,7,5.7
1520,4,SFO,30,7.4
1521,5,CAR,5,2.8
1522,6,TEN,29,4.2
1523,7,DAL,12,6.9
1524,8,SEA,7,2.4
1525,9,DET,21,-1
1526,10,STL,31,3.1
1527,11,JAX,6,5.4
1528,14,HOU,32,4.2
1529,15,PHI,27,4.2
1530,16,IND,2,7.6
1531,1,CIN,17,14.8
1532,2,DEN,9,14.7
1533,3,SFO,32,26.2
1534,4,ARI,29,18.2
1535,5,PIT,11,9.2
1536,6,SDG,7,28.1
1537,7,SEA,19,42.1
1538,8,STL,28,23.2
1539,9,MIA,5,14.9
1540,10,OAK,18,27.4
1541,11,DEN,9,22.3
1542,12,CLE,22,13.6
1543,13,BAL,1,12.4
1544,14,SDG,7,9.3
1545,15,OAK,18,19.5
1546,16,JAX,4,34
1547,1,OAK,18,20.9
1548,2,TEN,31,24.2
1549,3,BAL,1,10.5
1550,4,PIT,11,7
1551,5,SFO,32,37.5
1552,6,KAN,12,21.84
1553,7,STL,28,42
1554,8,CLE,22,37.2
1555,9,CIN,17,39.8
1556,10,DEN,9,41.9
1557,11,OAK,18,28.16
1558,12,BUF,10,31.2
1559,13,DEN,9,29.2
1560,14,KAN,12,32.4
1561,15,SEA,19,13.3
1562,16,ARI,29,8
1563,1,DEN,9,14
1564,2,SFO,32,12.4
1565,3,ARI,29,12.1
1566,4,DET,30,20.6
1567,5,GNB,25,11.8
1568,6,SEA,19,15.6
1569,7,SDG,7,19.9
1570,8,KAN,12,25.9
1571,9,SEA,19,19.3
1572,10,CAR,8,5.7
1573,11,SFO,32,25.2
1574,12,ARI,29,16.5
1575,13,CHI,3,25.9
1576,14,OAK,18,24.7
1577,16,MIN,14,40.6
1578,1,KAN,12,16.3
1579,2,CLE,22,26.8
1580,3,PIT,11,5.7
1581,4,NWE,2,15.1
1582,5,TAM,21,5.2
1583,6,CAR,8,10.5
1584,7,ATL,15,11.4
1585,8,BAL,1,14
1586,9,SDG,7,14.9
1587,11,CLE,22,12.4
1588,12,BAL,1,6.4
1589,13,OAK,18,22.2
1590,14,IND,23,15.6
1591,15,DEN,9,18
1592,16,PIT,11,5
1593,1,SFO,32,14.6
1594,2,SEA,19,9.7
1595,3,STL,28,15.9
1596,4,ATL,15,7.2
1597,5,KAN,12,11.5
1598,6,CHI,3,4.2
1599,7,OAK,18,3.8
1600,8,GNB,25,16.9
1601,9,DAL,20,5.9
1602,10,DET,30,11.2
1603,11,MIN,14,0.5
1604,12,STL,28,11.5
1605,13,SEA,19,18.1
1606,14,DEN,9,13.2
1607,15,SFO,32,10.8
1608,16,SDG,7,12.6
1609,1,MIA,5,12.8
1610,2,JAX,4,2.6
1611,3,CIN,17,26.6
1612,4,SDG,7,14.3
1613,5,KAN,12,19.8
1614,6,ATL,15,2.7
1615,7,OAK,18,17.1
1616,8,DEN,9,25.7
1617,10,CLE,22,18.3
1618,11,BAL,1,3.7
1619,12,TAM,21,8.6
1620,13,CLE,22,26.3
1621,14,CAR,8,19.2
1622,15,BAL,1,0.9
1623,16,CIN,17,24.5
1624,1,IND,23,17.1
1625,2,PHI,16,10.8
1626,3,SEA,19,7.8
1627,5,ATL,15,22.7
1628,6,DAL,20,12.6
1629,7,TAM,21,8.8
1630,8,HOU,26,21.5
1631,9,CHI,3,15.7
1632,10,JAX,4,4
1633,11,TEN,31,11.2
1634,12,DAL,20,14.3
1635,13,CAR,8,11.8
1636,14,PHI,16,16.4
1637,1,TAM,21,13.8
1638,2,OAK,18,7
1639,3,CLE,22,8.6
1640,4,SDG,7,3.4
1641,5,DEN,9,4.4
1642,6,CAR,8,5
1643,8,CIN,17,14.7
1644,9,TEN,31,5
1645,10,ATL,15,28.8
1646,11,PIT,11,13
1647,12,CIN,17,8.7
1648,13,KAN,12,14.1
1649,14,CLE,22,15.4
1650,15,PIT,11,15.8
1651,16,BUF,10,8.1
1652,1,ARI,29,27
1653,2,STL,28,17.7
1654,3,PHI,16,5.4
1655,4,KAN,12,5.9
1656,5,OAK,18,17.2
1657,6,SDG,7,9
1658,7,CHI,3,12
1659,8,MIN,14,7.7
1660,9,DET,30,23.3
1661,10,SEA,19,21.8
1662,11,STL,28,22.5
1663,13,GNB,25,22.8
1664,14,SEA,19,23.8
1665,15,ARI,29,20.6
1666,16,DEN,9,18.5
1667,1,GNB,25,6.14
1668,2,DET,30,6.6
1669,3,MIN,14,6.5
1670,4,SEA,19,22.7
1671,5,BUF,10,12.3
1672,6,ARI,29,5.7
1673,7,SFO,32,19.4
1674,8,MIA,5,9.3
1675,9,NYG,24,16.3
1676,10,NYJ,6,12.2
1677,11,NWE,2,9.7
1678,12,MIN,14,3.2
1679,13,STL,28,16.2
1680,14,TAM,21,14.4
1681,15,DET,30,7.2
1682,16,GNB,25,2.4
1683,1,CAR,8,14.2
1684,2,TAM,21,13.4
1685,4,ARI,29,6.5
1686,5,NYG,24,20.6
1687,6,PIT,11,12.9
1688,7,CIN,17,7.3
1689,8,DET,30,13.1
1690,9,CLE,22,10.8
1691,10,BAL,1,5.7
1692,13,TAM,21,7.2
1693,14,DAL,20,7.5
1694,15,CAR,8,3.8
1695,16,PHI,16,13.5
1696,1,NYJ,6,16.4
1697,3,MIA,5,7
1698,5,IND,23,13.3
1699,7,HOU,26,2.9
1700,8,JAX,4,6.7
1701,9,BAL,1,16.7
1702,10,PHI,16,21.1
1703,11,NYG,24,3.1
1704,12,IND,23,10.2
1705,13,HOU,26,21.5
1706,14,JAX,4,3.9
1707,15,BUF,10,13.5
1708,16,NWE,2,10.5
1709,1,CHI,3,13.2
1710,3,DET,30,17.1
1711,6,MIA,5,17.8
1712,7,ARI,29,25.3
1713,8,BUF,10,13
1714,9,MIN,14,5.5
1715,10,NWE,2,2.8
1716,11,SEA,19,14.3
1717,12,NYJ,6,14
1718,13,SFO,32,15
1719,14,DET,30,12.3
1720,15,MIN,14,6.9
1721,16,CHI,3,11
1722,1,NWE,2,9.4
1723,2,MIA,5,9.7
1724,3,NYJ,6,15.3
1725,4,MIN,14,14.2
1726,5,CHI,3,6.5
1727,6,DET,30,8
1728,7,NWE,2,12
1729,8,GNB,25,1.5
1730,11,JAX,4,19.1
1731,12,SDG,7,8.7
1732,13,NYJ,6,18.5
1733,14,MIA,5,5.9
1734,15,TEN,31,17.5
1735,16,BAL,1,0.3
1736,1,DET,30,3.2
1737,2,ARI,29,15.8
1738,3,NYG,24,11.9
1739,10,SFO,32,3.9
1740,11,GNB,25,20.1
1741,12,DEN,9,15.2
1742,13,ARI,29,6.2
1743,14,SFO,32,13.3
1744,15,SDG,7,26.2
1745,16,TAM,21,14.6
1746,1,MIN,14,5.3
1747,2,DAL,20,9.7
1748,3,HOU,26,21.1
1749,4,JAX,4,4.1
1750,5,NYG,24,1.7
1751,6,TEN,31,1.6
1752,7,IND,23,9.3
1753,8,DAL,20,3.8
1754,9,PHI,16,9.1
1755,10,TAM,21,4.6
1756,11,CAR,8,10.8
1757,12,ATL,15,23.3
1758,13,PHI,16,18.5
1759,15,STL,28,26.4
1760,16,NYG,24,18.4
1761,1,CLE,22,7
1762,2,GNB,25,19.1
1763,3,ATL,15,9.4
1764,4,CAR,8,10.7
1765,5,TAM,21,19.1
1766,6,PHI,16,10
1767,7,BAL,1,1.9
1768,8,TAM,21,10.4
1769,9,PIT,11,17.8
1770,10,CIN,17,6.9
1771,11,ATL,15,19.6
1772,12,SFO,32,14
1773,13,DAL,20,12.6
1774,15,NYG,24,18.2
1775,1,HOU,26,19.2
1776,2,NYG,24,16.4
1777,3,SFO,32,34.4
1778,5,DAL,20,12.6
1779,7,TAM,21,27.4
1780,8,JAX,4,10.6
1781,10,TEN,31,14.8
1782,11,IND,23,23
1783,12,CAR,8,18.4
1784,14,NYG,24,25.7
1785,15,DAL,20,12.8
1786,16,ATL,15,3.2
1787,1,STL,28,8.3
1788,2,KAN,12,7.6
1789,3,NWE,2,14.2
1790,4,BAL,1,7.9
1791,5,OAK,18,15.4
1792,6,CLE,22,18.6
1793,7,IND,23,2.7
1794,9,OAK,18,3.5
1795,12,SEA,19,14.1
1796,13,SDG,7,13.1
1797,14,ARI,29,2.1
1798,15,CIN,17,3
1799,16,SFO,32,5.5
1800,1,DAL,20,17.5
1801,2,PIT,11,12.1
1802,3,IND,23,7.3
1803,5,NYJ,6,20.3
1804,6,HOU,26,8.3
1805,7,PHI,16,16.5
1806,8,TEN,31,7.9
1807,9,HOU,26,13.4
1808,10,NYG,24,13.5
1809,11,BUF,10,10.1
1810,12,MIA,5,7.6
1811,13,IND,23,19.1
1812,14,TEN,31,3.7
1813,16,KAN,12,11.2
1814,1,ATL,15,7.4
1815,2,MIN,14,4.3
1816,3,TAM,21,6.9
1817,5,CLE,22,11.8
1818,6,BAL,1,5
1819,7,CIN,17,7.9
1820,8,DAL,20,14.1
1821,9,TAM,21,5.7
1822,10,STL,28,6.3
1823,13,NYG,24,2.6
1824,14,PIT,11,4.7
1825,15,ATL,15,10.7
1826,2,CIN,17,12.2
1827,4,OAK,18,10.4
1828,5,CAR,8,6.8
1829,6,DEN,9,4
1830,7,NYJ,6,19.2
1831,8,SDG,7,3.6
1832,9,ATL,15,9.4
1833,11,CIN,17,0.9
1834,12,KAN,12,17.8
1835,13,PIT,11,2.9
1836,14,BAL,1,3.1
1837,15,TAM,21,9.2
1838,16,HOU,26,6.5
1839,1,BUF,10,9.5
1840,2,NYJ,6,14
1841,3,DEN,9,1.6
1842,4,CIN,17,12.7
1843,5,MIA,5,4.5
1844,6,BUF,10,16.7
1845,7,MIN,14,3.2
1846,8,IND,23,15.3
1847,9,NYJ,6,10.3
1848,10,GNB,25,9.1
1849,11,CHI,3,2.3
1850,12,DET,30,21
1851,13,MIA,5,8
1852,14,HOU,26,8.1
1853,15,JAX,4,9
1854,16,TEN,31,24.6
1855,1,NYG,24,10.3
1856,2,HOU,26,11.9
1857,3,JAX,4,4.8
1858,4,NYJ,6,13.5
1859,5,TEN,31,9
1860,7,DEN,9,4.3
1861,8,NWE,2,1.3
1862,9,BUF,10,7.2
1863,10,DAL,20,5
1864,11,PHI,16,8.9
1865,12,TEN,31,12.8
1866,13,JAX,4,8.9
1867,14,CIN,17,7.8
1868,15,HOU,26,0.1
1869,16,MIA,5,4.2
1870,1,SDG,7,3.5
1871,2,BAL,1,0.1
1872,3,CLE,22,5.4
1873,4,SFO,32,6.8
1874,5,DEN,9,1.1
1875,6,ARI,29,6.6
1876,7,PIT,11,5.5
1877,8,SEA,19,1.5
1878,9,DEN,9,6.4
1879,10,KAN,12,4.8
1880,11,SDG,7,11.8
1881,12,HOU,26,3.9
1882,13,CIN,17,5.3
1883,14,STL,28,9.7
1884,15,KAN,12,8.8
1885,1,MIA,30,15.8
1886,2,PHI,9,13.6
1887,3,NYG,17,15.7
1888,4,DET,32,7.1
1889,5,GNB,7,6.9
1890,6,ARI,27,17.7
1891,7,NWE,4,8.1
1892,8,NYJ,19,25.6
1893,9,PHI,9,15.7
1894,10,DAL,13,4.5
1895,11,TAM,3,6.1
1896,12,BUF,18,12
1897,13,CHI,16,12.2
1898,14,NYG,17,18.6
1899,15,MIN,12,23
1900,16,DAL,13,23.1
1901,1,SFO,20,17.2
1902,2,SEA,6,21
1903,3,BAL,23,6.7
1904,4,PIT,2,14.4
1905,5,STL,31,9.7
1906,6,CAR,15,13.8
1907,8,TAM,3,7.5
1908,9,DET,32,7.8
1909,10,CIN,24,12.1
1910,11,SFO,20,8.9
1911,12,CLE,21,11.4
1912,13,SEA,6,7
1913,15,ATL,29,9.7
1914,16,STL,31,19.6
1915,1,CLE,21,8.7
1916,2,BUF,18,19.3
1917,3,SFO,20,14.2
1918,4,ARI,27,6.6
1919,5,SEA,6,10.2
1920,6,DEN,28,12.7
1921,7,CIN,24,19.4
1922,8,BAL,23,5.9
1923,9,CLE,21,11.3
1924,10,NYJ,19,5.2
1925,11,MIA,30,8.9
1926,12,CIN,24,6.1
1927,13,NWE,4,14.7
1928,14,JAX,10,10.9
1929,1,CHI,16,18.28
1930,2,NWE,4,5.8
1931,3,GNB,7,15.5
1932,4,KAN,14,21.4
1933,5,DEN,28,14
1934,6,OAK,26,45.4
1935,7,HOU,22,9.1
1936,8,MIN,12,13.7
1937,9,IND,1,15.7
1938,10,JAX,10,21.5
1939,11,BAL,23,12.2
1940,12,KAN,14,31.7
1941,13,TEN,8,29.3
1942,14,DET,32,24.3
1943,15,DEN,28,17.4
1944,16,OAK,26,12.3
1945,1,NWE,4,4.8
1946,2,BAL,23,8.7
1947,3,MIA,30,11.1
1948,4,BUF,18,5.5
1949,5,NYG,17,5
1950,6,PHI,9,14.1
1951,7,CIN,24,6.7
1952,8,BUF,18,10.4
1953,10,PIT,2,12.4
1954,11,DAL,13,5.7
1955,12,MIA,30,16
